scorer,DLC_resnet50_NOVEL_VIDEONov7shuffle1_100000,DLC_resnet50_NOVEL_VIDEONov7shuffle1_100000,DLC_resnet50_NOVEL_VIDEONov7shuffle1_100000,DLC_resnet50_NOVEL_VIDEONov7shuffle1_100000,DLC_resnet50_NOVEL_VIDEONov7shuffle1_100000,DLC_resnet50_NOVEL_VIDEONov7shuffle1_100000,DLC_resnet50_NOVEL_VIDEONov7shuffle1_100000,DLC_resnet50_NOVEL_VIDEONov7shuffle1_100000,DLC_resnet50_NOVEL_VIDEONov7shuffle1_100000,DLC_resnet50_NOVEL_VIDEONov7shuffle1_100000,DLC_resnet50_NOVEL_VIDEONov7shuffle1_100000,DLC_resnet50_NOVEL_VIDEONov7shuffle1_100000,DLC_resnet50_NOVEL_VIDEONov7shuffle1_100000,DLC_resnet50_NOVEL_VIDEONov7shuffle1_100000,DLC_resnet50_NOVEL_VIDEONov7shuffle1_100000,DLC_resnet50_NOVEL_VIDEONov7shuffle1_100000,DLC_resnet50_NOVEL_VIDEONov7shuffle1_100000,DLC_resnet50_NOVEL_VIDEONov7shuffle1_100000
bodyparts,leftear,leftear,leftear,rightear,rightear,rightear,nose,nose,nose,tailbase,tailbase,tailbase,object1,object1,object1,object2,object2,object2
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
42,226.06619262695312,38.62126922607422,0.9999996423721313,228.0393829345703,52.24993133544922,0.9999995231628418,243.50607299804688,48.880157470703125,1.0,171.68556213378906,53.59101867675781,0.9999996423721313,461.2576599121094,425.2954406738281,0.9995831847190857,225.17198181152344,129.73715209960938,0.9980595707893372
43,242.49658203125,36.080848693847656,0.9999997615814209,242.89451599121094,49.34422302246094,0.9999996423721313,260.3538818359375,47.19549560546875,0.9999998807907104,185.47515869140625,40.4628791809082,0.9999985694885254,461.3243408203125,425.5917663574219,0.9962494969367981,224.605712890625,130.12757873535156,0.9954060316085815
44,260.2815246582031,36.526031494140625,0.9999992847442627,260.35400390625,49.343048095703125,0.9999996423721313,276.9775085449219,47.60568618774414,0.9999998807907104,205.35682678222656,41.448509216308594,0.9999996423721313,461.02154541015625,425.8365478515625,0.9983899593353271,225.23773193359375,130.3501434326172,0.9988055229187012
45,276.2486572265625,35.396549224853516,0.9999990463256836,277.04022216796875,49.465641021728516,0.9999996423721313,296.6312561035156,43.8603515625,0.9999992847442627,221.16998291015625,40.11766815185547,0.9999998807907104,461.45550537109375,425.44366455078125,0.9986473917961121,225.44088745117188,130.82864379882812,0.9975346326828003
46,290.0653991699219,33.58311462402344,0.9999995231628418,293.39288330078125,49.840232849121094,0.9999995231628418,312.56085205078125,39.92718505859375,0.9999997615814209,237.18333435058594,40.43561553955078,0.9999997615814209,461.1188659667969,425.734619140625,0.999114453792572,225.89901733398438,130.7798614501953,0.9984369874000549
47,291.2205810546875,29.506080627441406,0.9999984502792358,298.5466003417969,41.66564178466797,0.999992847442627,311.1874084472656,25.041648864746094,0.9999997615814209,239.5470428466797,44.410282135009766,0.9999998807907104,461.6072692871094,425.97021484375,0.9996535778045654,225.72500610351562,130.87257385253906,0.995678722858429
48,297.5437316894531,30.485177993774414,0.9999988079071045,302.43499755859375,45.35486602783203,0.9999982118606567,318.6158142089844,32.257076263427734,0.9999988079071045,243.99366760253906,44.12052917480469,1.0,461.2645263671875,424.65911865234375,0.990041196346283,225.9857940673828,131.31658935546875,0.9985811710357666
49,311.75439453125,37.96449661254883,0.9999974966049194,308.1177062988281,53.48344802856445,0.9999973773956299,328.4212341308594,52.39635467529297,0.9999998807907104,253.1122283935547,41.876827239990234,0.9999996423721313,461.6362609863281,424.46929931640625,0.9992679953575134,226.33824157714844,131.109130859375,0.9991773962974548
50,338.4136047363281,46.46318435668945,0.9999901056289673,332.8753356933594,59.15050506591797,0.999993085861206,352.8833923339844,60.38251495361328,0.9999998807907104,278.7716369628906,34.34888458251953,1.0,461.1475524902344,425.3970642089844,0.9980214834213257,226.4653778076172,130.59266662597656,0.9993904829025269
51,363.5908508300781,46.871185302734375,0.999991774559021,359.1475524902344,60.987892150878906,0.9999970197677612,379.7154541015625,59.44156265258789,0.9999997615814209,307.9995422363281,40.652957916259766,1.0,461.49334716796875,425.8861083984375,0.9997902512550354,227.27455139160156,132.163330078125,0.9962297081947327
52,388.9767761230469,46.5251350402832,0.999992847442627,387.8796081542969,61.4960823059082,0.9999988079071045,408.0979309082031,59.76097106933594,0.9999996423721313,332.2549743652344,40.531681060791016,0.9999998807907104,461.27880859375,425.3699035644531,0.9992947578430176,226.47044372558594,131.76866149902344,0.9898800849914551
53,422.2451477050781,45.81519317626953,0.9999933242797852,421.92962646484375,62.43164825439453,0.9999972581863403,441.2876892089844,57.0263557434082,0.9999983310699463,367.628173828125,41.984222412109375,0.9999995231628418,461.4808654785156,424.73895263671875,0.9995689988136292,226.6840057373047,131.88589477539062,0.9848433136940002
54,454.27587890625,47.678802490234375,0.9999909400939941,452.46240234375,62.65245056152344,0.9999982118606567,471.2362976074219,61.37675857543945,0.9999994039535522,397.70166015625,40.44416809082031,0.9999997615814209,461.53961181640625,424.6522216796875,0.9979096055030823,226.0909881591797,131.58889770507812,0.917090654373169
55,487.9144287109375,53.745853424072266,0.9999945163726807,483.3813781738281,66.2212905883789,0.9999972581863403,502.05859375,65.86968994140625,0.9999998807907104,432.61572265625,42.63242721557617,0.9999997615814209,462.06689453125,424.50238037109375,0.9989570379257202,226.36631774902344,130.9854736328125,0.9201598763465881
56,516.0260009765625,69.29579162597656,0.9999972581863403,509.4309997558594,78.70506286621094,0.9999963045120239,527.530029296875,81.69859313964844,0.9999998807907104,463.0605773925781,45.28028869628906,0.9999997615814209,461.4007568359375,424.68450927734375,0.997808039188385,226.61158752441406,131.0553436279297,0.9013679623603821
57,537.5476684570312,75.82190704345703,0.9999967813491821,533.6527709960938,90.66270446777344,0.999997615814209,549.8566284179688,88.62067413330078,0.9999998807907104,486.0346374511719,52.35833740234375,1.0,461.4664611816406,426.0308837890625,0.9994086027145386,227.03736877441406,131.9701385498047,0.8301132917404175
58,542.0468139648438,88.90068054199219,0.9999977350234985,532.8272705078125,96.40802764892578,0.9999984502792358,550.4324951171875,104.24618530273438,0.9999998807907104,499.0209045410156,56.06789779663086,1.0,461.70452880859375,425.7319641113281,0.9986531734466553,226.9258575439453,131.86827087402344,0.9574069380760193
59,539.605712890625,84.23141479492188,0.9999923706054688,532.5670166015625,96.34547424316406,0.9999972581863403,550.3359375,98.38587951660156,0.9999998807907104,497.4498291015625,57.37824249267578,0.9999998807907104,461.72674560546875,425.489013671875,0.9993032217025757,226.7590789794922,132.19464111328125,0.9770270586013794
60,542.5361328125,77.35370635986328,0.9999840259552002,539.7982177734375,92.16156005859375,0.9999960660934448,559.7452392578125,85.77859497070312,1.0,496.88800048828125,58.00344467163086,0.9999998807907104,461.3769226074219,424.3482971191406,0.9903283715248108,226.28378295898438,131.7921142578125,0.975468635559082
61,546.1828002929688,79.52193450927734,0.9999901056289673,541.7852172851562,93.6318588256836,0.9999953508377075,564.4596557617188,89.98690795898438,0.9999998807907104,499.223388671875,60.3642578125,0.9999998807907104,461.190673828125,425.3857727050781,0.9992244243621826,226.1981658935547,131.84364318847656,0.9807753562927246
62,543.109619140625,77.10128784179688,0.9999817609786987,538.7744140625,90.70165252685547,0.9999973773956299,558.6823120117188,85.57538604736328,1.0,498.17657470703125,61.21700668334961,0.9999998807907104,460.97650146484375,425.2083740234375,0.9971776008605957,226.9333953857422,131.87716674804688,0.9574496746063232
63,537.81005859375,58.1650276184082,0.9999943971633911,541.8297729492188,72.7037124633789,0.999997615814209,553.7031860351562,61.786434173583984,0.9999997615814209,493.3166809082031,57.24944305419922,0.9999994039535522,460.9787292480469,425.8970031738281,0.9985615611076355,227.5639190673828,131.42234802246094,0.9087380170822144
64,539.118896484375,49.38856506347656,0.9999994039535522,547.8307495117188,62.88975524902344,0.9999972581863403,556.475830078125,48.76182174682617,0.9999995231628418,493.7154541015625,58.05472946166992,0.9999995231628418,461.1790771484375,426.4259948730469,0.9989836812019348,227.14146423339844,131.31637573242188,0.9505454301834106
65,538.2037963867188,39.25369644165039,0.9999990463256836,552.25390625,48.471229553222656,0.9999995231628418,552.5874633789062,27.59048843383789,0.9999414682388306,498.26080322265625,65.92338562011719,1.0,460.71990966796875,425.5563049316406,0.994330883026123,226.84030151367188,131.361572265625,0.9937087297439575
66,539.985595703125,37.36767578125,0.9999995231628418,551.5753784179688,49.128047943115234,0.9999996423721313,556.8076171875,29.131103515625,0.9999961853027344,502.3658142089844,64.74958038330078,1.0,460.3711853027344,425.4775085449219,0.9994693398475647,226.2186279296875,131.3302459716797,0.9750111699104309
67,539.5807495117188,36.86627960205078,0.9999996423721313,548.3582153320312,51.48810958862305,0.9999997615814209,559.8838500976562,33.4056282043457,0.9999998807907104,500.1708984375,58.85352325439453,1.0,460.8456726074219,425.13177490234375,0.998816728591919,227.0009307861328,131.8091278076172,0.9881716370582581
68,542.96142578125,36.7821159362793,0.9999996423721313,550.8994750976562,48.9724006652832,0.9999983310699463,561.9821166992188,29.952701568603516,0.9999997615814209,502.7347106933594,59.224246978759766,1.0,461.2862243652344,426.2200927734375,0.9989591836929321,226.44680786132812,131.9916534423828,0.986307680606842
69,546.2785034179688,35.5770378112793,0.9999998807907104,554.3302001953125,47.03549575805664,0.9999947547912598,567.1340942382812,28.700607299804688,0.9999996423721313,507.8727111816406,60.68449401855469,0.9999997615814209,460.48895263671875,425.4735107421875,0.9972796440124512,226.79681396484375,132.65890502929688,0.8765114545822144
70,549.5828857421875,36.32874298095703,0.9999996423721313,559.77880859375,47.021480560302734,0.9999779462814331,567.3056030273438,28.5350399017334,0.9999984502792358,514.9234008789062,61.25481033325195,1.0,460.4494934082031,426.3345642089844,0.9919055700302124,226.94656372070312,132.67214965820312,0.9885715842247009
71,545.7514038085938,38.45359420776367,0.9999984502792358,552.796142578125,49.669681549072266,0.9999884366989136,563.8969116210938,31.529033660888672,0.9999982118606567,514.2557983398438,61.595733642578125,1.0,460.6770324707031,425.82373046875,0.9995558857917786,226.90187072753906,131.641357421875,0.9860731363296509
72,541.6932983398438,41.22718811035156,0.9999895095825195,545.2947998046875,53.2010498046875,0.999995231628418,560.156005859375,41.33258056640625,0.999997615814209,505.0665283203125,62.89548873901367,0.9999978542327881,460.7528991699219,425.2513732910156,0.9990513920783997,227.3159637451172,132.00682067871094,0.9836156964302063
73,543.2265625,45.73249053955078,0.999988317489624,538.035400390625,60.71918487548828,0.9999971389770508,554.9620361328125,57.640899658203125,0.9999997615814209,499.9518127441406,61.063724517822266,0.9999998807907104,461.7786560058594,425.023681640625,0.999591052532196,227.0089874267578,133.3140411376953,0.9419351816177368
74,542.3358154296875,80.89606475830078,0.9999957084655762,528.9948120117188,83.4268569946289,0.9999996423721313,541.7752075195312,99.12166595458984,0.9999990463256836,497.47943115234375,52.966243743896484,0.9999998807907104,462.24468994140625,424.5167541503906,0.9994388222694397,227.07081604003906,133.00372314453125,0.9834843277931213
75,543.1961059570312,102.636474609375,0.9999997615814209,529.4033203125,106.62203979492188,0.9999995231628418,539.599853515625,119.3863754272461,0.9999998807907104,516.96533203125,51.32537841796875,1.0,461.540771484375,425.69757080078125,0.999491810798645,227.53871154785156,132.00729370117188,0.9909939169883728
76,545.4008178710938,115.3190689086914,1.0,529.9993896484375,117.13318634033203,0.9999998807907104,539.1283569335938,132.62255859375,1.0,528.297607421875,61.340362548828125,1.0,461.29876708984375,425.7566833496094,0.999413013458252,227.14820861816406,132.5589599609375,0.9838868975639343
77,542.9481201171875,125.94483184814453,0.999998927116394,527.5777587890625,128.26681518554688,0.9999996423721313,537.34423828125,146.63613891601562,1.0,526.5449829101562,73.51433563232422,1.0,461.36041259765625,424.9870300292969,0.9990873336791992,226.6197509765625,131.55935668945312,0.9882508516311646
78,540.4678955078125,152.00125122070312,0.9999994039535522,525.0789794921875,153.44483947753906,0.9999974966049194,533.8388671875,170.2808380126953,0.9999998807907104,529.3917846679688,93.05225372314453,1.0,460.9364318847656,425.7383728027344,0.9966748952865601,226.83132934570312,131.99288940429688,0.967575192451477
79,544.5907592773438,177.3859100341797,0.9999998807907104,527.9012451171875,178.0933380126953,0.9999998807907104,537.1143798828125,195.2707977294922,1.0,533.6578369140625,116.94412994384766,1.0,461.50286865234375,424.7726135253906,0.9989194869995117,226.79190063476562,131.96136474609375,0.9853532910346985
